Title,Distibutor,Max Theaters,Opening Weekend,Opening Theaters,Year,Weekend #,Multiplier,Box Office Mojo URL,RT Rating,Mojo Genre,Mojo MPAA,Mojo Budget,Director,Producer,Composer,Gross
Pirates of the Caribbean: At World's End,BV,4362,114732820,4362,2007,21,2.7,http://www.boxofficemojo.com/movies/?id=piratesofthecaribbean3.htm,45,Period Adventure,PG-13,300,Gore Verbinski,Jerry Bruckheimer,Hans Zimmer,309420425
Skyfall,Sony,3526,88364714,3505,2012,45,3.44,http://www.boxofficemojo.com/movies/?id=bond23.htm,93,Action,PG-13,200,Sam Mendes,Barbara Broccoli,Thomas Newman,304360277
The Hobbit: An Unexpected Journey,WB (NL),4100,84617303,4045,2012,50,3.58,http://www.boxofficemojo.com/movies/?id=hobbit.htm,64,Fantasy,PG-13,?,Peter Jackson,Peter Jackson,Howard Shore,303003568
Harry Potter and the Half-Blood Prince,WB,4455,77835727,4325,2009,29,3.88,http://www.boxofficemojo.com/movies/?id=harrypotter6.htm,84,Fantasy,PG,250,David Yates,David Heyman,?,301959197
The Twilight Saga: Eclipse,Sum.,4468,64832191,4468,2010,27,4.64,http://www.boxofficemojo.com/movies/?id=eclipse.htm,49,Romance,PG-13,68,David Slade,Marty Bowen,Howard Shore,300531751
The Twilight Saga: New Moon,Sum.,4124,142839137,4024,2009,47,2.08,http://www.boxofficemojo.com/movies/?id=newmoon.htm,28,Romance,PG-13,50,Chris Weitz,Marty Bowen,Alexandre Desplat,296623634
Harry Potter and the Deathly Hallows Part 1,WB,4125,125017372,4125,2010,47,2.37,http://www.boxofficemojo.com/movies/?id=harrypotter7.htm,78,Fantasy,PG-13,?,David Yates,?,Alexandre Desplat,295983305
Up,BV,3886,68108790,3766,2009,22,4.3,http://www.boxofficemojo.com/movies/?id=up.htm,98,Animation,PG,175,Pete Docter,John Lasseter,Michael Giacchino,293004164
Inception,WB,3792,62785337,3792,2010,29,4.66,http://www.boxofficemojo.com/movies/?id=inception.htm,86,Sci-Fi Action,PG-13,160,Christopher Nolan,Christopher Nolan,Hans Zimmer,292576195
The Twilight Saga: Breaking Dawn Part 2,LG/S,4070,141067634,4070,2012,46,2.07,http://www.boxofficemojo.com/movies/?id=breakingdawn2.htm,49,Romance,PG-13,120,Bill Condon,Marty Bowen,Carter Burwell,292324737
Harry Potter and the Order of the Phoenix,WB,4285,77108414,4285,2007,28,3.79,http://www.boxofficemojo.com/movies/?id=harrypotter5.htm,78,Fantasy,PG-13,150,David Yates,David Heyman,?,292004738
Man of Steel,WB,4207,116619362,4207,2013,24,2.5,http://www.boxofficemojo.com/movies/?id=superman2012.htm,55,Action,PG-13,225,Zack Snyder,Christopher Nolan,Hans Zimmer,291045518
The Hunger Games: Mockingjay - Part 2,LGF,4175,102665981,4175,2015,47,2.74,http://www.boxofficemojo.com/movies/?id=hungergames4.htm,70,Action,PG-13,160,Francis Lawrence,?,James Newton Howard,281723902
The Twilight Saga: Breaking Dawn Part 1,Sum.,4066,138122261,4061,2011,46,2.04,http://www.boxofficemojo.com/movies/?id=breakingdawn.htm,24,Romance,PG-13,110,Bill Condon,Marty Bowen,Carter Burwell,281287133
The Hangover,WB,3545,44979319,3269,2009,23,6.17,http://www.boxofficemojo.com/movies/?id=hangover.htm,79,Comedy,R,35,Todd Phillips,Chris Bender,Christophe Beck,277322503
Gravity,WB,3820,55785112,3575,2013,40,4.91,http://www.boxofficemojo.com/movies/?id=gravity.htm,96,Sci-Fi Thriller,PG-13,100,Alfonso Cuaron,Alfonso Cuaron,Steven Price,274092705
Sing,Uni.,4029,35258145,4022,2016,52,7.62,http://www.boxofficemojo.com/movies/?id=illumination2016.htm,73,Animation,PG,75,Garth Jennings,Janet Healy,Joby Talbot,268716030
Monsters University,BV,4004,82429469,4004,2013,25,3.26,http://www.boxofficemojo.com/movies/?id=monstersinc2.htm,78,Animation,G,?,Dan Scanlon,John Lasseter,Randy Newman,268492764
